skill_id,skill_name,skill_type
1,reading comprehension,essential
2,active listening,essential
3,writing,essential
4,speaking,essential
5,mathematics,essential
6,science,essential
7,critical thinking,essential
8,active learning,essential
9,learning strategies,essential
10,monitoring,essential
11,document management software,software
12,data base user interface and query software,software
13,content workflow software,software
14,customer relationship management crm software,software
15,accounting software,software
16,data base reporting software,software
17,electronic mail software,software
18,time accounting software,software
19,enterprise application integration software,software
20,graphics or photo imaging software,software
21,human resources software,software
22,project management software,software
23,analytical or scientific software,software
24,presentation software,software
25,enterprise resource planning erp software,software
26,spreadsheet software,software
27,financial analysis software,software
28,office suite software,software
29,desktop publishing software,software
30,word processing software,software
31,web platform development software,software
32,data base management system software,software
33,internet browser software,software
34,web page creation and editing software,software
35,calendar and scheduling software,software
36,business intelligence and data analysis software,software
37,video conferencing software,software
38,video creation and editing software,software
39,operating system software,software
40,computer aided design cad software,software
41,access software,software
42,computer aided manufacturing cam software,software
43,transaction server software,software
44,data mining software,software
45,cloud-based data access and sharing software,software
46,medical software,software
47,desktop communications software,software
48,geographic information system,software
49,sales and marketing software,software
50,instant messaging software,software
51,communications server software,software
52,enterprise system management software,software
53,facilities management software,software
54,information retrieval or search software,software
55,materials requirements planning logistics and supply chain software,software
56,transaction security and virus protection software,software
57,process mapping and design software,software
58,development environment software,software
59,network monitoring software,software
60,object oriented data base management software,software
61,configuration management software,software
62,metadata management software,software
63,object or component oriented development software,software
64,cloud-based management software,software
65,industrial control software,software
66,backup or archival software,software
67,map creation software,software
68,music or sound editing software,software
69,inventory management software,software
70,graphical user interface development software,software
71,application server software,software
72,network conferencing software,software
73,multi-media educational software,software
74,expert system software,software
75,computer based training software,software
76,network security and virtual private network vpn equipment software,software
77,portal server software,software
78,billing and invoicing software,software
79,software defined networking/ virtualization software,software
80,filesystem software,software
81,helpdesk or call center software,software
82,platform interconnectivity software,software
83,lan software,software
84,wireless software,software
85,compliance software,software
86,cloud-based protection or security software,software
87,network connectivity terminal emulation software,software
88,requirements analysis and system architecture software,software
89,clustering software,software
90,program testing software,software
91,risk management data and analysis software,software
92,procurement software,software
93,label making software,software
94,route navigation software,software
95,mobile location based services software,software
96,charting software,software
97,mobile messaging service software,software
98,file versioning software,software
99,point of sale pos software,software
100,categorization or classification software,software
101,tax preparation software,software
102,wan switching software and firmware,software
103,interactive voice response software,software
104,compiler and decompiler software,software
105,optical character reader ocr or scanning software,software
106,license management software,software
107,network operation system software,software
108,mobile operator specific application software,software
109,mailing and shipping software,software
110,administration software,software
111,network security or virtual private network vpn management software,software
112,internet directory services software,software
113,gateway software,software
114,authentication server software,software
115,audit software,software
116,storage networking software,software
117,pattern design software,software
118,internet protocol ip multimedia subsystem software,software
119,switch or router software,software
